ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2024-03-31,False,short_circuit_modest_miss
EOG,2024-03-31,False,short_circuit_modest_miss
DVN,2024-03-31,False,ok
CTRA,2024-03-31,False,short_circuit_modest_miss
OXY,2024-03-31,False,short_circuit_modest_miss
MTDR,2024-03-31,False,short_circuit_modest_miss
PR,2024-03-31,False,short_circuit_in_line
OVV,2024-03-31,False,short_circuit_modest_miss
SM,2024-03-31,False,short_circuit_modest_miss
CRGY,2024-03-31,False,short_circuit_in_line
FANG,2024-06-30,True,'charmap' codec can't encode character '\u2248' in position 1890: character maps
EOG,2024-06-30,False,short_circuit_modest_miss
DVN,2024-06-30,False,short_circuit_modest_miss
CTRA,2024-06-30,False,short_circuit_modest_miss
OXY,2024-06-30,False,short_circuit_in_line
MTDR,2024-06-30,False,short_circuit_modest_miss
PR,2024-06-30,False,ok
OVV,2024-06-30,False,ok
SM,2024-06-30,False,ok
CRGY,2024-06-30,False,short_circuit_in_line
FANG,2024-09-30,False,short_circuit_in_line
EOG,2024-09-30,False,short_circuit_in_line
DVN,2024-09-30,False,short_circuit_modest_miss
CTRA,2024-09-30,False,ok
OXY,2024-09-30,False,ok
MTDR,2024-09-30,False,ok
PR,2024-09-30,False,ok
OVV,2024-09-30,False,ok
SM,2024-09-30,False,ok
CRGY,2024-09-30,False,short_circuit_in_line
FANG,2024-12-31,False,short_circuit_in_line
EOG,2024-12-31,False,short_circuit_in_line
DVN,2024-12-31,False,short_circuit_modest_miss
CTRA,2024-12-31,False,short_circuit_modest_miss
OXY,2024-12-31,False,short_circuit_in_line
MTDR,2024-12-31,False,short_circuit_modest_miss
PR,2024-12-31,False,short_circuit_modest_miss
OVV,2024-12-31,False,ok
SM,2024-12-31,False,short_circuit_in_line
CRGY,2024-12-31,False,short_circuit_in_line
FANG,2024-06-30,False,ok
