test,obs,p_one_sided,ci_low,ci_high,n_iter
firm_clustered_hit_rate,0.5294117647058824,0.328,0.3952865448504983,0.6511627906976745,1000
quarter_block_hit_rate,0.5294117647058824,,0.3333333333333333,0.678038225748287,1000
firm_clustered_mean_return,0.0017966385910595985,,-0.018301879148059794,0.015254477995203089,1000
