strategy,ticker,fiscal_quarter_end,entry_date_T,exit_date,entry_price,exit_price,size_pct,gross_return_pct,net_return_pct,gross_pnl_usd,net_pnl_usd,cum_growth_factor,running_max,drawdown_pct
10,SM,2021-03-31,2021-04-15,2021-05-01,17.42,16.52,0.1,-0.05166475315729059,-0.05466475315729059,-5166.475315729059,-5466.475315729059,0.9453352468427094,0.9453352468427094,0.0
10,FANG,2021-03-31,2021-04-19,2021-05-05,77.67,83.12,0.1,0.07016866228917218,0.06716866228917218,7016.866228917218,6716.866228917218,1.0088321507879385,1.0088321507879385,0.0
10,EOG,2021-03-31,2021-04-22,2021-05-08,68.35,84.55,0.1,0.23701536210680327,0.23401536210680327,23701.536210680326,23401.536210680326,1.2449143718595632,1.2449143718595632,0.0
10,MTDR,2021-06-30,2021-07-13,2021-07-29,35.54,30.9,0.1,-0.13055711873944853,-0.13355711873944853,-13055.711873944852,-13355.711873944852,1.0786471952766696,1.2449143718595632,-0.13355711873944845
10,FANG,2021-06-30,2021-07-19,2021-08-04,73.19,76.42,0.1,0.044131711982511326,0.041131711982511324,4413.171198251132,4113.171198251132,1.1230138010435333,1.2449143718595632,-0.09791883969814215
10,EOG,2021-06-30,2021-07-21,2021-08-06,74.19,70.93,0.1,-0.04394123197196376,-0.04694123197196375,-4394.123197196375,-4694.123197196375,1.070298149701032,1.2449143718595632,-0.14026364070140995
10,MTDR,2021-09-30,2021-10-12,2021-10-28,42.39,42.32,0.1,-0.001651332861523951,-0.004651332861523951,-165.1332861523951,-465.1332861523951,1.0653198367456993,1.2449143718595632,-0.14426256068166243
10,FANG,2021-09-30,2021-10-18,2021-11-03,109.26,111.81,0.1,0.023338824821526608,0.02033882482152661,2333.882482152661,2033.882482152661,1.0869871902841675,1.2449143718595632,-0.12685786681014496
10,CTRA,2021-09-30,2021-10-20,2021-11-05,21.41,21.58,0.1,0.007940214852872404,0.004940214852872404,794.0214852872404,494.02148528724035,1.0923571405464914,1.2449143718595632,-0.12254435707509174
10,EOG,2021-09-30,2021-10-21,2021-11-06,90.9,96.99,0.1,0.06699669966996688,0.06399669966996688,6699.669966996688,6399.669966996688,1.1622643924023888,1.2449143718595632,-0.06639009182110885
10,FANG,2021-12-31,2022-02-08,2022-02-24,124.37,127.89,0.1,0.028302645332475646,0.025302645332475646,2830.2645332475645,2530.2645332475645,1.1916727561059117,1.2449143718595632,-0.04276729143557321
