n_trades,hit_rate,mean_net_return_pct,median_net_return_pct,sharpe_quarterly,max_drawdown_pct,strategy
2,0.5,0.003138441603719934,0.003138441603719934,0.03120471901706749,0.0,1
0,,,,,,2
18,0.2777777777777778,-0.03125458367228068,-0.03442628140283667,-0.4438682355521238,-0.4482839689807432,3
20,0.3,-0.015418810112066824,-0.03468376203361623,-0.22745593553195223,-0.4089566538663358,4
10,0.3,-0.0014628643045994857,-0.018792057154981723,-0.027275160009069533,-0.09751861319669228,5
40,0.325,-0.019865174873440007,-0.03411197115397857,-0.29459124544042325,-0.6207905218618027,6
1,1.0,0.06331490759122657,0.06331490759122657,,,7
14,0.2857142857142857,-0.03130281161588902,-0.04881816438160711,-0.5107822200765145,-0.40685149004927185,8
15,0.3333333333333333,-0.029429015703307675,-0.03537953681545509,-0.4121686351224585,-0.41707338101307356,9
16,0.1875,-0.035446005475121854,-0.03512205618467553,-0.6302526616520344,-0.4680606633370609,10
