strategy,ticker,fiscal_quarter_end,entry_date_T,exit_date,entry_price,exit_price,size_pct,gross_return_pct,net_return_pct,gross_pnl_usd,net_pnl_usd
1,DVN,2024-03-31,2024-04-17,2024-05-03,51.67,50.54,0.1,-0.021869556802786967,-0.024869556802786966,-2186.9556802786965,-2486.9556802786965
1,OVV,2024-06-30,2024-07-16,2024-08-01,48.46,44.48,0.1,-0.08212959141560057,-0.08512959141560057,-8212.959141560057,-8512.959141560057
1,FANG,2024-06-30,2024-07-22,2024-08-07,204.67999,191.38,0.1,-0.06497943448209084,-0.06797943448209084,-6497.943448209085,-6797.943448209085
1,PR,2024-06-30,2024-07-23,2024-08-08,15.67,14.53,0.1,-0.07275047862156991,-0.0757504786215699,-7275.047862156991,-7575.047862156991
1,SM,2024-06-30,2024-07-24,2024-08-09,44.5,43.11,0.05,-0.03123595505617979,-0.03423595505617979,-1561.7977528089896,-1711.7977528089896
1,MTDR,2024-09-30,2024-10-08,2024-10-24,53.17,52.4,0.1,-0.014481850667669797,-0.017481850667669795,-1448.1850667669796,-1748.1850667669796
1,CTRA,2024-09-30,2024-10-17,2024-11-02,24.07,23.07,0.1,-0.04154549231408392,-0.044545492314083925,-4154.549231408392,-4454.549231408392
1,SM,2024-09-30,2024-10-17,2024-11-02,43.52,40.94,0.1,-0.05928308823529424,-0.06228308823529424,-5928.308823529424,-6228.308823529424
1,PR,2024-09-30,2024-10-23,2024-11-08,13.85,14.92,0.1,0.07725631768953072,0.07425631768953071,7725.6317689530715,7425.6317689530715
1,OVV,2024-09-30,2024-10-24,2024-11-09,39.81,42.69,0.05,0.07234363225320259,0.06934363225320259,3617.1816126601293,3467.1816126601293
1,OXY,2024-09-30,2024-10-29,2024-11-14,50.08,50.67,0.1,0.011781150159744477,0.008781150159744478,1178.1150159744477,878.1150159744477
1,OVV,2024-12-31,2025-02-12,2025-02-28,41.2365,41.9508,0.1,0.017322032665235933,0.014322032665235934,1732.2032665235934,1432.2032665235934
