strategy,ticker,fiscal_quarter_end,entry_date_T,exit_date,entry_price,exit_price,size_pct,gross_return_pct,net_return_pct,gross_pnl_usd,net_pnl_usd,cum_growth_factor,running_max,drawdown_pct
1,OVV,2021-03-31,2021-04-15,2021-05-01,24.21,24.94,0.1,0.030152829409335002,0.027152829409335003,3015.2829409335004,2715.2829409335004,1.027152829409335,1.027152829409335,0.0
1,FANG,2021-03-31,2021-04-19,2021-05-05,77.67,83.12,0.1,0.07016866228917218,0.06716866228917218,7016.866228917218,6716.866228917218,1.0961453109272983,1.0961453109272983,0.0
1,DVN,2021-03-31,2021-04-20,2021-05-06,20.97,25.27,0.1,0.20505484024797335,0.20205484024797338,20505.484024797337,20205.484024797337,1.3176267766152787,1.3176267766152787,0.0
1,OVV,2021-06-30,2021-07-13,2021-07-29,30.11,26.07,0.1,-0.13417469279309197,-0.13717469279309197,-13417.469279309196,-13717.469279309196,1.136881728317126,1.3176267766152787,-0.13717469279309186
1,SM,2021-06-30,2021-07-15,2021-07-31,20.42,18.72,0.1,-0.08325171400587672,-0.08625171400587672,-8325.171400587673,-8625.171400587673,1.0388237306278103,1.3176267766152787,-0.2115948544273349
1,EOG,2021-06-30,2021-07-21,2021-08-06,74.19,70.93,0.1,-0.04394123197196376,-0.04694123197196375,-4394.123197196375,-4694.123197196375,0.9900600649104294,1.3176267766152787,-0.24860356325355126
1,SM,2021-09-30,2021-10-14,2021-10-30,29.37,36.64,0.1,0.24753149472250593,0.24453149472250593,24753.149472250592,24453.149472250592,1.232160932448038,1.3176267766152787,-0.06486346944677722
1,FANG,2021-09-30,2021-10-18,2021-11-03,109.26,111.81,0.1,0.023338824821526608,0.02033882482152661,2333.882482152661,2033.882482152661,1.2572216378050276,1.3176267766152787,-0.04584389136764502
1,OVV,2021-09-30,2021-10-19,2021-11-04,39.27,35.74,0.1,-0.08989050165520755,-0.09289050165520756,-8989.050165520755,-9289.050165520755,1.140437689177537,1.3176267766152787,-0.13447593095588517
1,OXY,2021-09-30,2021-10-21,2021-11-06,32.8,34.29,0.1,0.045426829268292744,0.04242682926829274,4542.682926829274,4242.682926829274,1.1888228443073987,1.3176267766152787,-0.09775448905095244
1,DVN,2021-12-31,2022-02-01,2022-02-17,52.56,55.25,0.1,0.051179604261796,0.048179604261795995,5117.960426179599,4817.960426179599,1.2460998584835117,1.3176267766152787,-0.054284657386445556
1,FANG,2021-12-31,2022-02-08,2022-02-24,124.37,127.89,0.1,0.028302645332475646,0.025302645332475646,2830.2645332475645,2530.2645332475645,1.277629481251568,1.3176267766152787,-0.030355557486814105
1,OXY,2021-12-31,2022-02-09,2022-02-25,40.3,38.74,0.1,-0.03870967741935472,-0.04170967741935472,-3870.967741935472,-4170.967741935472,1.2243399677271076,1.3176267766152787,-0.07079911439550915
1,SM,2022-03-31,2022-04-14,2022-04-30,41.35,34.58,0.1,-0.16372430471584046,-0.1667243047158405,-16372.430471584046,-16672.430471584048,1.0202127378719912,1.3176267766152787,-0.225719485989261
1,FANG,2022-03-31,2022-04-18,2022-05-04,140.0,142.49001,0.1,0.017785785714285803,0.014785785714285803,1778.5785714285803,1478.5785714285803,1.0352973847971514,1.3176267766152787,-0.21427114022635105
1,OVV,2022-06-30,2022-07-20,2022-08-05,46.58,47.82,0.1,0.026620867325032247,0.023620867325032244,2662.0867325032245,2362.0867325032245,1.0597520069653976,1.3176267766152787,-0.19571154307618893
1,SM,2022-06-30,2022-07-20,2022-08-05,36.58,38.1,0.1,0.04155276107162392,0.03855276107162393,4155.276107162393,3855.2761071623927,1.1006083728851084,1.3176267766152787,-0.16470400236374028
1,PR,2022-09-30,2022-10-25,2022-11-10,9.67,10.23,0.1,0.05791106514994834,0.05491106514994835,5791.1065149948345,5491.1065149948345,1.1610439509531811,1.3176267766152787,-0.11883700941804456
1,SM,2024-03-31,2024-04-18,2024-05-04,48.04,50.72,0.1,0.05578684429641965,0.05278684429641965,5578.684429641965,5278.684429641965,1.2223317972134466,1.3176267766152787,-0.07232319583442735
1,OXY,2024-12-31,2025-02-04,2025-02-20,46.3445,50.7267,0.1,0.09455706718165056,0.09155706718165056,9455.706718165056,9155.706718165056,1.334244911689186,1.334244911689186,0.0
1,OXY,2025-03-31,2025-04-23,2025-05-09,38.9857,41.2663,0.1,0.058498372480165796,0.0554983724801658,5849.83724801658,5549.83724801658,1.4082933327778784,1.4082933327778784,0.0
