ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2022-03-31,False,short_circuit_modest_miss
EOG,2022-03-31,False,short_circuit_modest_miss
DVN,2022-03-31,False,short_circuit_modest_miss
CTRA,2022-03-31,False,short_circuit_modest_miss
OXY,2022-03-31,False,short_circuit_in_line
MTDR,2022-03-31,False,short_circuit_modest_miss
OVV,2022-03-31,False,short_circuit_modest_miss
SM,2022-03-31,False,short_circuit_modest_miss
CRGY,2022-03-31,False,short_circuit_in_line
FANG,2022-06-30,False,short_circuit_modest_miss
EOG,2022-06-30,False,short_circuit_modest_miss
DVN,2022-06-30,False,short_circuit_modest_miss
CTRA,2022-06-30,False,short_circuit_modest_miss
OXY,2022-06-30,False,short_circuit_modest_miss
MTDR,2022-06-30,False,short_circuit_modest_miss
OVV,2022-06-30,False,short_circuit_modest_miss
SM,2022-06-30,False,short_circuit_modest_miss
CRGY,2022-06-30,False,short_circuit_in_line
FANG,2022-09-30,False,ok
EOG,2022-09-30,False,ok
DVN,2022-09-30,False,ok
CTRA,2022-09-30,False,short_circuit_in_line
OXY,2022-09-30,False,ok
MTDR,2022-09-30,False,short_circuit_in_line
PR,2022-09-30,False,short_circuit_in_line
OVV,2022-09-30,False,ok
SM,2022-09-30,False,ok
CRGY,2022-09-30,False,short_circuit_in_line
FANG,2022-12-31,False,short_circuit_modest_miss
EOG,2022-12-31,False,ok
DVN,2022-12-31,False,ok
CTRA,2022-12-31,False,ok
OXY,2022-12-31,False,short_circuit_in_line
MTDR,2022-12-31,False,ok
PR,2022-12-31,False,short_circuit_in_line
OVV,2022-12-31,False,ok
SM,2022-12-31,False,short_circuit_in_line
CRGY,2022-12-31,False,short_circuit_in_line
