ticker,fiscal_quarter_end,low_quality_flag,reason
FANG,2020-03-31,False,short_circuit_in_line
EOG,2020-03-31,False,short_circuit_in_line
DVN,2020-03-31,False,short_circuit_modest_miss
OXY,2020-03-31,False,ok
MTDR,2020-03-31,False,short_circuit_in_line
OVV,2020-03-31,False,ok
SM,2020-03-31,False,short_circuit_in_line
FANG,2020-06-30,False,short_circuit_modest_miss
EOG,2020-06-30,False,short_circuit_modest_miss
DVN,2020-06-30,False,short_circuit_modest_miss
OXY,2020-06-30,False,short_circuit_modest_miss
MTDR,2020-06-30,False,ok
OVV,2020-06-30,False,short_circuit_modest_miss
SM,2020-06-30,False,short_circuit_modest_miss
FANG,2020-09-30,False,short_circuit_modest_miss
EOG,2020-09-30,False,short_circuit_in_line
DVN,2020-09-30,False,short_circuit_modest_miss
OXY,2020-09-30,False,short_circuit_modest_miss
MTDR,2020-09-30,False,ok
OVV,2020-09-30,False,short_circuit_modest_miss
SM,2020-09-30,False,short_circuit_modest_miss
FANG,2020-12-31,False,short_circuit_in_line
EOG,2020-12-31,False,ok
DVN,2020-12-31,False,short_circuit_in_line
OXY,2020-12-31,False,short_circuit_modest_miss
MTDR,2020-12-31,False,short_circuit_modest_miss
OVV,2020-12-31,False,short_circuit_modest_miss
SM,2020-12-31,False,short_circuit_modest_miss
