ticker,date,adj_close,ret
FANG,2024-12-16,153.6240,
FANG,2024-12-17,154.7936,0.007613
FANG,2024-12-18,150.8692,-0.025353
FANG,2024-12-19,147.9500,-0.019349
FANG,2024-12-20,149.7672,0.012283
FANG,2024-12-23,150.8885,0.007487
FANG,2024-12-24,152.5028,0.010698
FANG,2024-12-26,152.7541,0.001648
FANG,2024-12-27,153.0538,0.001962
FANG,2024-12-30,155.6056,0.016673
FANG,2024-12-31,158.3604,0.017704
FANG,2025-01-02,161.2120,0.018007
FANG,2025-01-03,165.2524,0.025063
FANG,2025-01-06,163.9765,-0.007721
FANG,2025-01-07,166.6637,0.016388
FANG,2025-01-08,165.2814,-0.008294
FANG,2025-01-10,168.9352,0.022106
FANG,2025-01-13,171.6804,0.016250
FANG,2025-01-14,171.7481,0.000394
FANG,2025-01-15,173.5653,0.010581
FANG,2025-01-16,173.1400,-0.002450
FANG,2025-01-17,174.1646,0.005918
FANG,2025-01-21,171.0424,-0.017926
FANG,2025-01-22,171.6611,0.003617
FANG,2025-01-23,170.7331,-0.005406
FANG,2025-01-24,167.4756,-0.019079
FANG,2025-01-27,165.8711,-0.009581
FANG,2025-01-28,163.5995,-0.013695
FANG,2025-01-29,165.1557,0.009513
FANG,2025-01-30,164.7208,-0.002634
FANG,2025-01-31,158.8728,-0.035503
FANG,2025-02-03,158.9887,0.000730
FANG,2025-02-04,160.7480,0.011065
FANG,2025-02-05,159.2594,-0.009260
FANG,2025-02-06,154.6873,-0.028708
FANG,2025-02-07,152.8508,-0.011873
FANG,2025-02-10,156.2629,0.022323
FANG,2025-02-11,156.6012,0.002165
FANG,2025-02-12,150.2699,-0.040429
FANG,2025-02-13,150.9562,0.004567
FANG,2025-02-14,151.7488,0.005251
FANG,2025-02-18,151.5265,-0.001465
FANG,2025-02-19,154.9096,0.022327
FANG,2025-02-20,156.6785,0.011419
FANG,2025-02-21,150.9079,-0.036831
FANG,2025-02-24,150.0476,-0.005701
FANG,2025-02-25,146.8481,-0.021323
FANG,2025-02-26,147.3410,0.003357
FANG,2025-02-27,150.3956,0.020731
FANG,2025-02-28,153.6530,0.021659
FANG,2025-03-03,143.0590,-0.068948
FANG,2025-03-04,140.1978,-0.020000
FANG,2025-03-05,137.9359,-0.016134
